1 79.6
2 124.2
3 108.6
4 88
5 90.8
6 110.4
7 108.2
8 82
9 88
10 81.6
11 106.8
12 100.8
13 85.2
14 115.8
15 127.2
16 96
17 97.2
18 109.6
19 114.6
20 87.2
21 100.4
22 113
23 92.2
24 88.2
25 94.8
26 85.4
27 95
28 114
29 102.8
30 100.2
31 85.8
32 104.2
33 95.2
34 93.2
35 99.6
36 98
37 117.8
38 90.2
39 128.2
40 78.8
41 105.4
42 106
43 106.4
44 76.4
45 114.8
46 110.2
47 107.6
48 87.2
49 93.6
50 96.2
51 87.4
52 81
53 124
54 113.2
55 119
56 99.4
57 92.8
58 97.2
59 103
60 104.2
61 103.8
62 145.2
63 87.8
64 98.4
65 80.2
66 77.6
67 103
68 101.8
69 81
70 69.8
71 106.2
72 70.2
73 88.6
74 105.2
75 109.4
76 86.6
77 76.6
78 97.6
79 122.8
80 91.6
81 88.2
82 102.2
83 122
84 83.8
85 72.4
86 92.4
87 105.6
88 109.8
89 99.8
90 64.2
91 73.2
92 103.2
93 116.8
94 94.8
95 105.6
96 102
97 101
98 98.8
99 97.8
100 108.6
